"","short.id","IGSN","Location","Site","Position","id","year","month","top_depth_cm","bottom_depth_cm","ppm_C","eoc_dry_mass","c_per_g_soil","eoc_method","ppm_C_sd","eoc_dry_mass_sd","c_per_g_soil_sd"
"84","LUQ-028","IECZM007F","LUQ","IC","M","LUQ-IC-M",2022,1,145,150,11.45,3.74,0.061229947,"hot water",NA,NA,NA
"85","LUQ-029","IECZM006D","LUQ","EV","R","LUQ-EV-R",2022,1,70,80,23.19,3.27,0.141834862,"hot water",NA,NA,NA
"86","LUQ-030","IECZM006G","LUQ","EV","R","LUQ-EV-R",2022,1,100,110,9.99,3.29,0.060729483,"hot water",NA,NA,NA
"87","LUQ-031","IECZM008H","LUQ","IC","T","LUQ-IC-T",2022,1,80,90,21.32,3.85,0.110753247,"hot water",NA,NA,NA
"88","LUQ-032","IECZM0072","LUQ","IC","M","LUQ-IC-M",2022,1,35,40,33.55,3.85,0.174285714,"hot water",NA,NA,NA
"89","LUQ-033","IECZM007C","LUQ","IC","M","LUQ-IC-M",2022,1,120,130,18.36,3.78,0.097142857,"hot water",NA,NA,NA
"90","LUQ-034","IECZM007B","LUQ","IC","M","LUQ-IC-M",2022,1,110,120,21.55,3.72,0.115860215,"hot water",NA,NA,NA
"91","LUQ-035","IECZM007G","LUQ","IC","M","LUQ-IC-M",2022,1,150,160,5.14,3.86,0.026632124,"hot water",NA,NA,NA
"92","LUQ-036","IECZM007K","LUQ","IC","M","LUQ-IC-M",2022,1,190,200,4.65,3.74,0.02486631,"hot water",NA,NA,NA
"93","LUQ-037","IECZM007A","LUQ","IC","M","LUQ-IC-M",2022,1,100,110,23.59,3.81,0.123832021,"hot water",NA,NA,NA
"94","LUQ-038","IECZM006Z","LUQ","IC","M","LUQ-IC-M",2022,1,10,20,44.4,3.41,0.260410557,"hot water",NA,NA,NA
"95","LUQ-039","IECZM008F","LUQ","IC","T","LUQ-IC-T",2022,1,60,70,11.65,3.62,0.064364641,"hot water",NA,NA,NA
"96","LUQ-040","IECZM007O","LUQ","IC","R","LUQ-IC-R",2022,1,30,40,30.98,3.48,0.178045977,"hot water",NA,NA,NA
"97","LUQ-041","IECZM007X","LUQ","IC","R","LUQ-IC-R",2022,1,105,110,12.04,3.65,0.065972603,"hot water",NA,NA,NA
"98","LUQ-042","IECZM007I","LUQ","IC","M","LUQ-IC-M",2022,1,170,180,7.8,3.64,0.042857143,"hot water",NA,NA,NA
"99","LUQ-043","IECZM006Y","LUQ","IC","M","LUQ-IC-M",2022,1,0,10,49.33,2.93,0.336723549,"hot water",NA,NA,NA
"100","LUQ-044","IECZM007M","LUQ","IC","R","LUQ-IC-R",2022,1,10,20,37.69,2.79,0.270179211,"hot water",NA,NA,NA
"101","LUQ-045","IECZM0071","LUQ","IC","M","LUQ-IC-M",2022,1,30,35,33.85,3.76,0.180053191,"hot water",NA,NA,NA
"102","LUQ-046","IECZM007L","LUQ","IC","R","LUQ-IC-R",2022,1,0,10,29.21,2.64,0.221287879,"hot water",NA,NA,NA
