unit_levels,Var_long,var,givenUnit,unitConversionFactor
kg m-2,Bulk Layer Organic Carbon (CN analyzer) stock,lyr_soc_stock,g C m-2,1000.0000
kg ha-1,Bulk Layer Organic Carbon (CN analyzer) stock,lyr_soc_stock,g C m-2,0.1000
gDM m-2,Bulk Layer Organic Carbon (CN analyzer) stock,lyr_soc_stock,g C m-2,0.5000
kgDM ha-1,Bulk Layer Organic Carbon (CN analyzer) stock,lyr_soc_stock,g C m-2,0.0500
t ha-1,Bulk Layer Organic Carbon (CN analyzer) stock,lyr_soc_stock,g C m-2,100.0000
%,Bulk Layer Loss on Ignition,lyr_loi,percent,1.0000
g kg-1,Bulk Layer Loss on Ignition,lyr_loi,percent,0.1000
mg kg-1,Bulk Layer Loss on Ignition,lyr_loi,percent,0.0001
mg g-1,Bulk Layer Loss on Ignition,lyr_loi,percent,0.1000
ug g-1,Bulk Layer Loss on Ignition,lyr_loi,percent,0.0001
%,Bulk Layer OM (Walkley Balck),lyr_som_WalkleyBlack,percent,1.0000
g kg-1,Bulk Layer OM (Walkley Balck),lyr_som_WalkleyBlack,percent,0.1000
mg kg-1,Bulk Layer OM (Walkley Balck),lyr_som_WalkleyBlack,percent,0.0001
mg g-1,Bulk Layer OM (Walkley Balck),lyr_som_WalkleyBlack,percent,0.1000
ug g-1,Bulk Layer OM (Walkley Balck),lyr_som_WalkleyBlack,percent,0.0001
%,Bulk Layer Total Nitrogen concentration,lyr_n_tot,percent,1.0000
g kg-1,Bulk Layer Total Nitrogen concentration,lyr_n_tot,percent,0.1000
mg kg-1,Bulk Layer Total Nitrogen concentration,lyr_n_tot,percent,0.0001
mg g-1,Bulk Layer Total Nitrogen concentration,lyr_n_tot,percent,0.1000
ug g-1,Bulk Layer Total Nitrogen concentration,lyr_n_tot,percent,0.0001
g m-2,Bulk Layer Total Nitrogen stock,lyr_n_tot_stock,g N m-2,1.0000
kg m-2,Bulk Layer Total Nitrogen stock,lyr_n_tot_stock,g N m-2,1000.0000
